"scenario","n","n_site","n_doc","n_re","true_beta0","true_beta1","true_phi","true_sigma_site","true_sigma_doc","proreg_beta0","proreg_beta1","proreg_phi","proreg_sigma_site","proreg_sigma_doc","proreg_conv","proreg_iter","tmb_beta0","tmb_beta1","tmb_phi","tmb_sigma_site","tmb_sigma_doc","tmb_conv","tmb_iter","tmb_nll","time_proreg_mean","time_proreg_sd","time_tmb_mean","time_tmb_sd","speedup","cor_u"
"S1_small",150,10,30,40,0.3,-0.25,0.12,0.55,0.35,0.53655144416697,-0.322578916870441,0.132614214319204,0.542965333089191,0.296999625698519,"yes",16,0.548735235622311,-0.326622294197382,0.13321944359367,0.520614113940914,0.266911172330797,"yes",19,323.51833096278,0.515333333333333,0.00763762615825821,0.15,0.0502294734194963,3.43555555555556,0.998216779152028
"S2_medium",480,20,80,100,0.3,-0.25,0.12,0.55,0.35,0.366263458984145,-0.298962698600454,0.153476093026675,0.483180625710946,0.397085349477617,"yes",10,0.375578569271789,-0.306057835191737,0.153902572757513,0.478976916792736,0.386094890357071,"yes",18,1058.20602226419,1.979,0.0149331845230642,0.381,0.0147986485869452,5.19422572178477,0.999813759440826
"S3_large",1200,30,150,180,0.3,-0.25,0.12,0.55,0.35,0.223719362734473,-0.19610437570238,0.115846791399202,0.710408172562437,0.366204973476178,"yes",8,0.234873861780597,-0.200018515430224,0.115860120172819,0.711494529197695,0.36233360142027,"yes",21,2567.7146980438,8.36133333333333,0.0380175398116854,1.022,0.0234307490277209,8.18134377038488,0.999924749795048
"S4_xlarge",1920,40,240,280,0.3,-0.25,0.12,0.55,0.35,0.474599988921378,-0.268039363693517,0.11810436823465,0.488141922177496,0.372892060783533,"yes",9,0.48758947372248,-0.273006992420964,0.118116328246458,0.490548959004044,0.370117712851114,"yes",24,4109.96244645149,31.0716666666667,0.383244482456483,1.86833333333333,0.037687309977403,16.6306868867083,0.999907201802892
