"param","mean","sd","q025","q975","n_eff","Rhat"
"(Intercept)",-0.4024506494036,0.0800833055612356,-0.566493731824827,-0.250465943882872,1055.69553442911,0.998965751366276
"x",0.953542814169159,0.0988274992167282,0.763430291187628,1.15091601677038,987.042220772808,1.00372242624734
"phi",0.268537420780851,0.040761512137936,0.196302772098035,0.351810086321209,822.203982986413,1.00025794964769
