"tag","scenario","phi","alpha_true","engine","n_ok","pct_conv","mean_alpha","bias","pct_bias","ESD","ASD","CP95","time_mean","speedup"
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,"PROreg",8,100,0.0053543530381449,-0.0046456469618551,-0.46456469618551,0.0237816970560181,0.0230105474578414,100,10.495,NA
"Sc1_phi0.05_alpha0.01",1,0.05,0.01,"PROregTMB",8,100,0.00511606461768736,-0.00488393538231264,-0.488393538231264,0.023468167108839,0.0230062989590982,100,0.325000000000001,32.2923076923076
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,"PROreg",8,100,0.0469304820191858,-0.00306951798081422,-0.0613903596162843,0.0261742844775455,0.0244017487762943,87.5,14.37375,NA
"Sc1_phi0.5_alpha0.05",1,0.5,0.05,"PROregTMB",8,100,0.0503354589547805,0.000335458954780481,0.00670917909560961,0.0286719736158286,0.0276040089837669,87.5,0.307249999999998,46.7819365337676
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,"PROreg",8,100,-0.0854812775409362,0.0145187224590638,-0.145187224590638,0.0955105651964205,0.0727457888250516,87.5,12.512375,NA
"Sc2_phi0.5_alpha-0.1",2,0.5,-0.1,"PROregTMB",8,100,-0.0888819614953686,0.0111180385046314,-0.111180385046314,0.0964525285642632,0.0791353605375139,100,0.362124999999999,34.5526406627547
"Sc2_phi1_alpha-0.15",2,1,-0.15,"PROreg",8,100,-0.123701292766499,0.0262987072335008,-0.175324714890005,0.0948909393737101,0.0719822952930767,100,12.87325,NA
"Sc2_phi1_alpha-0.15",2,1,-0.15,"PROregTMB",8,100,-0.143354402865547,0.00664559713445331,-0.0443039808963554,0.108255446371455,0.0825086359417012,100,0.425249999999998,30.2721928277485
