"param","true","TSBB","BBjm","diff_jm_ts"
"beta0",-0.19,-0.245016896709121,-0.253011921895319,-0.00799502518619769
"beta1",0.03,0.130049405714414,0.179960474488238,0.049911068773824
"phi",0.5,0.533617151633301,0.529585978325105,-0.00403117330819636
"sigma0",1.2,1.06899419517054,1.08273444878996,0.0137402536194171
"sigma1",0.05,6.48091327033942e-05,0.000999919718367657,0.000935110585664263
"alpha",0.05,0.0423942795184967,0.0510464484523754,0.00865216893387873
"w1",0.1,NA,0.099755574071202,NA
"w2",1.6,NA,1.56523237519795,NA
